"10/01/2025,Piaui Materiais de Construcoes,00307868,4,Venda,09/12/2024,0101,000000126.0,00000005.04,00000120.96";;;;;;;;;;;;;;;;;;;;;;
"10/01/2025,Piaui Materiais de Construcoes,00307868,7,Venda Parcelada,09/12/2024,0102,000000126.4,00000005.68,00000120.72";;;;;;;;;;;;;;;;;;;;;;
"10/01/2025,Piaui Materiais de Construcoes,00307868,6,Venda Parcelada,09/12/2024,0105,00000121.09,00000005.44,00000115.65";;;;;;;;;;;;;;;;;;;;;;
"10/01/2025,Piaui Materiais de Construcoes,00307868,2,Venda Parcelada,09/12/2024,0106,00000273.32,00000012.29,00000261.03";;;;;;;;;;;;;;;;;;;;;;
"10/01/2025,Piaui Materiais de Construcoes,00307868,3,Venda Parcelada,09/12/2024,0106,00000061.44,00000002.76,00000058.68";;;;;;;;;;;;;;;;;;;;;;
"10/01/2025,Piaui Materiais de Construcoes,00307868,5,Venda Parcelada,09/12/2024,0106,00000129.01,000000005.8,00000123.21";;;;;;;;;;;;;;;;;;;;;;
"13/01/2025,Piaui Materiais de Construcoes,00014318,20234,Venda Parcelada,08/11/2024,0206,00000043.65,00000001.96,00000041.69";;;;;;;;;;;;;;;;;;;;;;
"13/01/2025,Piaui Materiais de Construcoes,00014318,20239,Venda Parcelada,11/12/2024,0106,00000486.06,00000021.87,00000464.19";;;;;;;;;;;;;;;;;;;;;;
"13/01/2025,Piaui Materiais de Construcoes,00307868,500004,Venda Parcelada,03/07/2024,0606,00000023.99,00000001.12,00000022.87";;;;;;;;;;;;;;;;;;;;;;
"13/01/2025,Piaui Materiais de Construcoes,00307868,500008,Venda Parcelada,03/07/2024,0606,00000302.61,00000013.64,00000288.97";;;;;;;;;;;;;;;;;;;;;;
"13/01/2025,Piaui Materiais de Construcoes,00307868,500010,Venda Parcelada,03/07/2024,0606,00000124.76,00000005.63,00000119.13";;;;;;;;;;;;;;;;;;;;;;
"13/01/2025,Piaui Materiais de Construcoes,00307868,500002,Venda Parcelada,05/07/2024,0606,00000128.35,000000005.8,00000122.55";;;;;;;;;;;;;;;;;;;;;;
"13/01/2025,Piaui Materiais de Construcoes,00307868,500007,Venda Parcelada,05/07/2024,0606,000000159.2,00000007.17,00000152.03";;;;;;;;;;;;;;;;;;;;;;
"13/01/2025,Piaui Materiais de Construcoes,00307868,3,Venda Parcelada,05/08/2024,0506,00000078.44,00000003.52,00000074.92";;;;;;;;;;;;;;;;;;;;;;
"13/01/2025,Piaui Materiais de Construcoes,00307868,500004,Venda Parcelada,06/08/2024,0506,000000045.1,00000002.02,00000043.08";;;;;;;;;;;;;;;;;;;;;;
"13/01/2025,Piaui Materiais de Construcoes,00307868,500007,Venda Parcelada,05/09/2024,0405,000000300.0,000000013.5,000000286.5";;;;;;;;;;;;;;;;;;;;;;
"13/01/2025,Piaui Materiais de Construcoes,00307868,500008,Venda Parcelada,05/09/2024,0405,00000141.15,00000006.35,000000134.8";;;;;;;;;;;;;;;;;;;;;;
"13/01/2025,Piaui Materiais de Construcoes,00307868,500004,Venda Parcelada,05/09/2024,0406,00000085.95,00000003.86,00000082.09";;;;;;;;;;;;;;;;;;;;;;
"13/01/2025,Piaui Materiais de Construcoes,00307868,500002,Venda Parcelada,07/10/2024,0305,000000059.9,00000002.69,00000057.21";;;;;;;;;;;;;;;;;;;;;;
"13/01/2025,Piaui Materiais de Construcoes,00307868,3,Venda Parcelada,08/10/2024,0306,000000250.0,00000011.25,00000238.75";;;;;;;;;;;;;;;;;;;;;;
"13/01/2025,Piaui Materiais de Construcoes,00307868,500004,Venda Parcelada,09/10/2024,0306,00000179.75,00000008.08,00000171.67";;;;;;;;;;;;;;;;;;;;;;
"13/01/2025,Piaui Materiais de Construcoes,00307868,500005,Venda Parcelada,08/11/2024,0202,00000034.25,00000001.54,00000032.71";;;;;;;;;;;;;;;;;;;;;;
"13/01/2025,Piaui Materiais de Construcoes,00307868,500002,Venda Parcelada,08/11/2024,0204,00000020.65,00000000.92,00000019.73";;;;;;;;;;;;;;;;;;;;;;
"13/01/2025,Piaui Materiais de Construcoes,00307868,500003,Venda Parcelada,08/11/2024,0206,00000105.02,00000004.72,000000100.3";;;;;;;;;;;;;;;;;;;;;;
